participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange
3,f,34,0,1,decreasing,11,14,11,2,1,blue,1,blue,1,230,230,501076.2057153,501093.4513881,501093.4568251,1,green,green,1,0.580590128898621,501078.2710271,2.06531179999001,3,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5.192777,-9.829411e-06,
3,f,34,1,1,decreasing,11,14,11,2,1,blue,1,blue,1,230,230,501076.2057153,501093.4513881,501093.4568251,2,blue,neither,0,0.5,501080.3982146,2.12718750000931,5,4,55,501089.0096844,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,8.736771,-0.0001760084,-0.0805901288986206
3,f,34,0,2,decreasing,10,15,10,2,1,blue,1,blue,1,230,460,501094.5207592,501107.365582,501107.3664899,1,green,green,1,0.580590128898621,501098.1104786,3.58971940004267,5,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12.62471,-0.0002054306,
3,f,34,1,2,decreasing,10,15,10,2,1,blue,1,blue,1,230,460,501094.5207592,501107.365582,501107.3664899,2,blue,neither,0,0.5,501100.4225873,2.31210869998904,3,4,54,501104.2657721,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4.612867,0.0001044134,-0.0805901288986206
3,f,34,0,3,decreasing,9,16,9,4,1,blue,1,blue,1,210,670,501108.4260929,501127.8295148,501127.831728,1,blue,blue,1,0.580590128898621,501112.6861251,4.26003220002167,3,2,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64867,-0.001407875,
3,f,34,0,3,decreasing,9,16,9,4,1,blue,1,blue,1,210,670,501108.4260929,501127.8295148,501127.831728,2,green,neither,0,0.5,501115.0621544,2.37602929997956,1,3,55,501119.4896649,2,1,,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.438455,-0.0005034284,-0.0805901288986206
3,f,34,0,3,decreasing,9,16,9,4,1,blue,1,blue,1,210,670,501108.4260929,501127.8295148,501127.831728,3,blue,blue,1,0.584094047546387,501121.4709385,6.40878410002915,1,1,,,,,,,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312846,0.0004469459,0.0840940475463867
3,f,34,1,3,decreasing,9,16,9,4,1,blue,1,blue,1,210,670,501108.4260929,501127.8295148,501127.831728,4,blue,blue,2,0.668188095092773,501123.5821074,2.11116889998084,5,5,88,501131.4656457,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.766328,0.001615518,0.0840940475463867
3,f,34,0,4,decreasing,12,13,12,3,2,green,1,blue,0,-100,570,501132.5292578,501148.9584105,501148.9588225,1,green,green,1,0.580590128898621,501135.0458799,2.51662209996721,2,3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.213634,0.000642788,
3,f,34,0,4,decreasing,12,13,12,3,2,green,1,blue,0,-100,570,501132.5292578,501148.9584105,501148.9588225,2,green,green,2,0.661180257797241,501137.1578197,2.11193980003009,5,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16.43816,0.0003543397,0.0805901288986206
3,f,34,1,4,decreasing,12,13,12,3,2,green,1,blue,0,-100,570,501132.5292578,501148.9584105,501148.9588225,3,green,green,3,0.738266468048096,501139.1420219,1.98420219996478,4,1,105,501143.0896941,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.544364,-3.508863e-05,0.0770862102508545
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,1,blue,blue,1,0.580590128898621,501152.7180552,2.7023791000247,3,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9689118,-0.0001079907,
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,2,green,neither,0,0.5,501154.7657929,2.04773769999156,5,3,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.981354,-0.0001828384,-0.0805901288986206
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,3,green,green,1,0.584094047546387,501156.7581622,1.99236929998733,2,3,68,501160.2575919,2,1,,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-28.13268,0.001057774,0.0840940475463867
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,4,blue,neither,0,0.5,501163.2541031,6.49594090000028,3,4,,,,,,,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,-1.074515,0.0005306874,-0.0840940475463867
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,5,blue,blue,1,0.588098526000977,501165.1900827,1.93597960000625,1,4,,,,,,,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,4.975194,0.0005438235,0.0880985260009766
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,6,green,neither,0,0.5,501167.189901,1.99981830001343,1,1,,,,,,,2,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,7.110112,3.670441e-05,-0.0880985260009766
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,7,green,green,1,0.592735290527344,501169.1581327,1.96823170001153,2,1,54,501172.2735966,2,1,,1,2,2,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1.87628,0.0001744106,0.0927352905273438
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,8,blue,neither,0,0.5,501174.4700647,5.31193199998233,3,2,,,,,,,2,2,1,0,0,0,0,1,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,16.70648,8.971314e-06,-0.0927352905273438
3,f,34,0,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,9,green,green,1,0.598190307617188,501176.3737694,1.90370470000198,4,3,,,,,,,2,2,1,0,0,0,0,1,0,0,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,-1.278446,0.0004594231,0.0981903076171875
3,f,34,1,5,decreasing,8,8,17,10,2,green,2,green,1,150,720,501150.0156761,501182.6033327,501182.6037637,10,green,green,2,0.696380615234375,501178.2620298,1.88826039998094,2,4,72,501185.9215525,2,1,1,1,2,2,1,0,0,0,0,1,0,0,0,2,0,2,2,1,2,1,0,0,0,0,0,0,0,0,6.263608,0.000270481,0.0981903076171875
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,1,red,red,1,0.580590128898621,501207.1258381,1.63972289999947,5,2,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.871461,-3.982519e-05,
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,2,orange,neither,0,0.5,501209.2540066,2.12816850002855,3,5,54,501212.7695074,1,1,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9.157469,-0.0006630353,-0.0805901288986206
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,3,red,red,1,0.584094047546387,501215.238065,5.98405839997577,1,1,,,,,,,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.721203,0.0001474875,0.0840940475463867
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,4,orange,neither,0,0.5,501217.2700771,2.03201210004045,2,3,,,,,,,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6.00542,0.0001559943,-0.0840940475463867
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,5,orange,orange,1,0.588098526000977,501219.5500609,2.27998379996279,1,3,,,,,,,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.35901,-0.000636394,0.0880985260009766
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,6,orange,orange,2,0.676197052001953,501221.5179728,1.96791190002114,5,4,,,,,,,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.461949,0.0001979959,0.0880985260009766
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,7,red,orange,1,0.592735290527344,501223.4220097,1.90403689997038,4,2,,,,,,,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.1987842,-4.850118e-05,-0.0834617614746094
3,f,34,0,6,fixed,8,17,8,15,1,orange,1,orange,1,100,820,501205.4861152,501250.4078656,501250.4083958,8,orange,orange,2,0.685470581054688,501225.4137454,1.99173569999402,5,1,,,,,,,2,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-8.519073,-0.0006395236,0.0927352905273438
