participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange,previousPCorrect
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,1,green,green,1,0.580590128898621,760262.9688178,2.90735990006942,3,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19.91324,0.0002681054,0.0805901288986206,0.5
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,2,blue,neither,0,0.5,760265.0812746,2.11245679995045,5,4,51,760274.8600932,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-11.79265,-0.0007228897,-0.0805901288986206,0.580590128898621
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,3,green,green,1,0.584094047546387,760277.0732356,11.9919610000215,3,1,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,30.25543,-0.0001693636,0.0840940475463867,0.5
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,4,blue,neither,0,0.5,760279.0245647,1.95132909994572,2,2,,,,,,,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,8.536888,8.818065e-05,-0.0840940475463867,0.584094047546387
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,5,green,green,1,0.588098526000977,760280.92852,1.90395529998932,4,2,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-4.908975,-0.0006728516,0.0880985260009766,0.5
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,6,blue,neither,0,0.5,760282.8565821,1.92806210007984,2,4,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,-6.739062,0.0007879457,-0.0880985260009766,0.588098526000977
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,7,green,green,1,0.592735290527344,760284.5923139,1.73573179997038,4,1,49,760290.7399845,1,1,,0,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,13.55939,0.000419686,0.0927352905273438,0.5
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,8,green,green,2,0.685470581054688,760293.0483539,8.45603999996092,4,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,3.217623,-0.0006524765,0.0927352905273438,0.592735290527344
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,9,green,green,3,0.772750854492188,760294.744585,1.69623110000975,3,3,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,0,2,1,0,0,2,0,0,0,7.340394,0.0002293744,0.0872802734375,0.685470581054688
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,10,blue,green,2,0.696380615234375,760297.25656,2.51197500003036,3,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,5.312214,0.001035467,-0.0763702392578125,0.772750854492188
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,11,blue,green,1,0.604736328125,760299.3361648,2.07960479997564,5,1,,,,,,,0,0,2,2,1,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,-9.216371,-0.0005981268,-0.091644287109375,0.696380615234375
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,12,blue,neither,0,0.5,760301.6564907,2.32032589998562,1,1,,,,,,,1,0,2,2,1,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,15.65478,0.001150917,-0.104736328125,0.604736328125
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,13,blue,blue,1,0.61279296875,760304.1605091,2.50401839998085,2,3,,,,,,,1,0,2,2,1,0,1,0,2,0,0,1,2,0,0,0,1,1,2,1,0,0,2,0,0,1,-5.17557,-0.0003930643,0.11279296875,0.5
9,f,33,0,1,decreasing,11,14,11,22,1,blue,1,blue,1,30,30,760260.0614579,760357.9260128,760357.9264256,14,blue,blue,2,0.7255859375,760306.8244982,2.66398910002317,1,4,,,,,,,1,0,2,2,1,0,1,0,2,0,0,1,2,0,0,1,1,1,2,1,0,0,2,0,0,0,1.259499,0.001040085,0.11279296875,0.61279296875
