context,change,EEG
1,0.08009873,-5.961491e-06
1,0.08409405,1.2644e-05
1,0.09814776,3.476135e-05
2,0.08281248,-2.086089e-05
2,0.08809853,5.395028e-05
2,0.09273529,8.333287e-05
3,0.07299323,0.0001955707
3,0.08232573,8.292239e-05
3,0.1056819,0.0001635126
1,0.08059013,0.0001592954
1,0.08508339,0.0001217774
1,0.1265252,0.0003341344
2,0.08347437,0.0002008329
2,0.09447163,0.0002373302
2,0.1246102,0.0002235346
3,0.02100089,0.0006899233
3,0.06330896,0.0004465956
3,0.1065454,0.0005199126
1,0.08059013,-0.0001964455
1,0.08592943,-4.139736e-05
1,0.1265497,-5.502539e-05
2,0.075129,6.206514e-05
2,0.08955388,1.797329e-05
2,0.1239512,4.098018e-05
3,0.008053523,0.000369641
3,0.04488961,0.0002213393
3,0.07711241,0.0001282996
1,0.08124928,6.297479e-05
1,0.09007485,1.994399e-05
1,0.1608065,0.0002186196
2,0.07653505,0.0001131443
2,0.09663697,9.850662e-05
2,0.1430664,0.0002586712
3,0.01458718,0.0006544631
3,0.04466577,0.0004684098
3,0.08540807,0.0004401589
1,0.07988171,-0.0001967429
1,0.09020053,-1.147095e-05
1,0.1306944,-7.234882e-05
2,0.07564329,-9.288548e-06
2,0.09775861,3.232613e-05
2,0.1366276,0.0001040582
3,0.01845623,0.000377721
3,0.05355806,0.0002194899
3,0.09809028,0.0003702522
1,0.079,-0.0001500847
1,0.08918527,-1.613383e-05
1,0.1418255,-0.0001303155
2,0.08022814,1.009199e-05
2,0.09712821,-4.345076e-05
2,0.1240311,0.0001909133
3,0.0343347,0.0005005809
3,0.06848961,0.0002708431
3,0.1180959,0.0004695667
1,0.07993127,0.0002062388
1,0.08517762,0.0003255196
1,0.1438795,0.0004108275
2,0.08129127,0.0005900725
2,0.09207244,0.0004207919
2,0.1294213,0.0005821202
3,0.0397275,0.001035177
3,0.07605796,0.0007981164
3,0.117206,0.0006190391
1,0.08114033,-2.334512e-06
1,0.09242805,0.0001032194
1,0.156901,0.000278934
2,0.07554518,0.0002024777
2,0.0941788,0.0003284629
2,0.1448568,0.0003299377
3,0.01526322,0.0007520227
3,0.04764666,0.0005331587
3,0.08388229,0.0006215318
1,0.07698773,3.192666e-06
1,0.09005466,3.465436e-05
1,0.1416895,0.0003275332
2,0.07247526,0.0001779868
2,0.08947524,0.0003288829
2,0.138489,0.0004925859
3,0.01399482,0.0009329465
3,0.0457077,0.0006893012
3,0.08537976,0.0007477673
1,0.07895539,-4.215496e-06
1,0.08911282,-5.176287e-05
1,0.1817568,0.0001784565
2,0.0803576,0.0001325764
2,0.09874403,-5.095986e-05
2,0.1440248,0.0001411804
3,0.02887711,0.000786513
